iter	RMSE
0	0.4722748717
1	0.447119482
2	0.4233953895
3	0.4009682502
4	0.3804011106
5	0.3615967573
6	0.3440913992
7	0.3280867213
8	0.3124339327
9	0.2980315936
10	0.2839086269
11	0.2709246723
12	0.2595008324
13	0.2484311267
14	0.2385824839
15	0.2293605928
16	0.2205193763
17	0.2125253834
18	0.2052229322
19	0.198544713
20	0.1921091883
21	0.1863137654
22	0.1808066165
23	0.1760269007
24	0.1713960616
25	0.1668096076
26	0.1621839946
27	0.1584392368
28	0.1548210832
29	0.1518671361
30	0.1487438276
31	0.1457956386
32	0.1426035255
33	0.1398695816
34	0.1372275671
35	0.1349763956
36	0.1327504327
37	0.1309492002
38	0.129071611
39	0.1273011383
40	0.1255809861
41	0.1239205563
42	0.1225110346
43	0.1210593602
44	0.1198352603
45	0.1186877208
46	0.117512774
47	0.1163565534
48	0.1154139205
49	0.1144097903
50	0.1136058618
51	0.1127248343
52	0.1119023436
53	0.1110581497
54	0.1102631328
55	0.109249967
56	0.1084031442
57	0.107662301
58	0.1068672897
59	0.1060850757
60	0.105223704
61	0.104593308
62	0.1038946638
63	0.1032031962
64	0.1027001042
65	0.1022252618
66	0.1016657316
67	0.1010825569
68	0.1007558563
69	0.1001937094
70	0.09971248034
71	0.09919159975
72	0.09858013271
73	0.09810508
74	0.09772677461
75	0.09726382716
76	0.09682950024
77	0.09634631649
78	0.09596938584
79	0.09546454897
80	0.09498481312
81	0.09452897675
82	0.09414883117
83	0.09368699684
84	0.09347687244
85	0.09317386909
86	0.09280776322
87	0.0923609196
88	0.09194132799
89	0.09170352228
90	0.09134981338
91	0.09112396771
92	0.09083076566
93	0.0906306757
94	0.09037109888
95	0.09015966125
96	0.08982300781
97	0.08965062681
98	0.08918234988
99	0.08892077591
100	0.08860607372
101	0.08830637287
102	0.08788970673
103	0.08751330128
104	0.08725290374
105	0.08701147546
106	0.08669192859
107	0.08637170813
108	0.08609532814
109	0.08585130262
110	0.08560061843
111	0.08548705814
112	0.08529628698
113	0.08514381423
114	0.08481870845
115	0.08451087468
116	0.08425048586
117	0.08399797494
118	0.08373269929
119	0.08354746733
120	0.08331186308
121	0.08305867594
122	0.08281932642
123	0.08275628846
124	0.08259611583
125	0.08234977055
126	0.0822559969
127	0.08199306389
128	0.08183173065
129	0.08160796311
130	0.08140051013
131	0.08111390696
132	0.08094866405
133	0.08077657443
134	0.08055203869
135	0.08038964795
136	0.0802572902
137	0.08003666057
138	0.07986230702
139	0.07969969999
140	0.07961773673
141	0.07946022801
142	0.07927689504
143	0.0789798499
144	0.07880834027
145	0.07856236809
146	0.07838331009
147	0.07824112862
148	0.07804624076
149	0.07789714642
150	0.0777962361
151	0.07765107209
152	0.07740430058
153	0.07722984476
154	0.07701051682
155	0.07683587934
156	0.07665418076
157	0.07646445395
158	0.07629488313
159	0.07623894007
160	0.07599482913
161	0.07584570178
162	0.07572669699
163	0.07552639667
164	0.07533189899
165	0.07523490067
166	0.0750832274
167	0.07488615561
168	0.07466492641
169	0.07443599138
170	0.07422742076
171	0.07410357336
172	0.07390786254
173	0.0737550679
174	0.07362768013
175	0.07342887908
176	0.07316825584
177	0.07300381305
178	0.07281549288
179	0.07262554248
180	0.07249233011
181	0.07232514047
182	0.0721583544
183	0.0720182022
184	0.07182745384
185	0.07172322621
